Chemical formula,Synonyms,CAS number
C6H6O2,catechol,120–80–9
C6H6O2,hydroquinone,123–31–9
C6H6O2,resorcinol,108–46–3
C6H6O3,hydroxymethylfurfural,67–47–0
C6H7BO2,phenylboronic acid,98–80–6
C6H7CsO6,caesium ascorbate,
C6H7KO6,potassium ascorbate,
C6H7KO6,Potassium erythorbate,17175–66–5
C6H7LiO6,lithium ascorbate,
C6H7N3O,isoniazid,54–85–3
C6H7NaO6,sodium ascorbate,
C6H7RbO6,rubidium ascorbate,
C6H8N2,2-amino-3-methylpyridine,1603–40–3
C6H8N2,2-amino-4-methylpyridine,695–34–1
C6H8N2,2-amino-5-methylpyridine,1603–41–4
C6H8N2,2-amino-6-methylpyridine,1824–81–3
C6H8N2O2S,ethyl 2-aminothiazole-4-carboxylate,5398–36–7
C6H8N2O2S,sulfanilamide,63–74–1
C6H8O7,citric acid,77–92–9
C6H9N3O2,histidine His,71–00–1
C6H9N3O2,ethyl 5-amino-1H-pyrazole-4-carboxylate,6994–25–8
C6H9N3O3,metronidazole,443–48–1
C6H10O2,(2R)-2-Methylpent-4-enoic acid,
C6H10O3,4-acetylbutyric acid,3128–06–1
C6H10O3,butyl glyoxylate,6295–06–3
C6H10O3,ethyl acetoacetate,141–97–9
C6H10O3,2-hydroxypropyl acrylate,25584–83–2
C6H10O3,pantolactone,599–04–2
C6H10O3,propyl pyruvate,20279–43–0
C6H10O4,aceburic acid,
C6H10O4,adipic acid,
C6H10O4,conduritol,
C6H10O4,dianhydrohexitol,
C6H10O4,ethylidene diacetate,
C6H10O4,glucal,
C6H11NO2,cycloleucine,52–52–8
C6H11NO2,pipecolic acid,3105–95–1
C6H12,cyclohexane,110–82–7
C6H12N4O3,Streptolidine,29307-61-7
C6H12OS,4-Mercapto-4-methyl-2-pentanone,19872-52-7
C6H12O3,4-Hydroxy-4-methylpentanoic acid,
C6H12O6,fructose,7660–25–5
C6H12O6,glucose,50–99–7
C6H13NO,N-ethylmorpholine,1119–29–5
C6H13NO2,aminocaproic acid,60–32–2
C6H13NO2,isoleucine Ile,73–32–5
C6H13NO2,leucine Leu,61–90–5
C6H14,hexane,110–54–3
C6H14N2O2,lysine Lys,56–87–1
C6H14N2O2,N-Methylornithine,3485–66–3
C6H14N4O2,arginine Arg,74–79–3
C6H14O2,"1,6-hexanediol",
C6H14O3,dipropylene glycol,
C6H14O3,trimethylolpropane,
C6H14O4,triethylene glycol,
C6H15NO3,triethanolamine,
C6H7N3O3,2-Oxohistidine,181996-08-7
C6N4,tetracyanoethylene,
C7H4ClFO,2-Chloro-6-fluorobenzaldehyde,387-45-1
C7H5N3O6,trinitrotoluene,118-96-7
C7H5BrO,3-Bromobenzaldehyde,3132-99-8
C7H5Br3O,"2,4,6-tribromoanisole",
C7H5Cl2NS,Chlorthiamide,1918-13-4
C7H5Cl3O,"2,4,6-trichloroanisole",
C7H5F3O,"2,4,6-trifluoroanisole",
C7H5FO2,2-fluorobenzoic acid,445–29–4
C7H5FO2,3-Fluorobenzoic acid,
C7H5FO2,4-fluorobenzoic acid,456–22–4
C7H5NO4,quinolinic acid,89–00–9
C7H5NO4,dipicolinic acid,499–83–2
C7H5NS2,2-mercaptobenzothiazole,149–30–4
C7H5N3O2,7-nitroindazole,2942–42–9
C7H6ClF,2-Chloro-6-fluorotoluene,443-83-4
C7H6N2,7-azaindole,271–23–6
C7H6N2,Benzimidazole,
C7H6O,tropone,
C7H6O2,benzoic acid,65–85–0
C7H6O2,4-hydroxybenzaldehyde,123–08–0
C7H6O3,salicylic acid,69–72–7
C7H6O3,4-hydroxybenzoic acid,99–96–7
C7H6O4,protocatechuic acid,99–50–3
C7H6O4,"2,3-dihydroxybenzoic acid",303–38–8
C7H6O5,gallic acid,149–91–7
C7H7BO4,4-carboxyphenylboronic acid,14047–29–1
C7H7NO2,4-aminobenzoic acid,150–13–0
C7H7NO2,Homarine,445–30–7
C7H7NO3,mesalazine,89–57–6
C7H7N3,benomyl metabolite,934–32–7
C7H8,toluene,108–88–3
C7H8ClN3O4S2,hydrochlorothiazide,58–93–5
C7H8N4O2,theophylline,58–55–9
C7H8N4O2,theobromine,
C7H9BO2,4-methylphenylboronic acid,5720–05–8
C7H9BO3,4-boronoanisole,5720–07–0
C7H10N2,4-dimethylaminopyridine,1122–58–3
C7H11NO5,N-Acetylglutamic acid,
C7H12O4,diethyl malonate,
C7H12N2O4,aceglutamide,
C7H14O3,n-Butyl lactate,138-22-7
C7H14O6,bornesitol,
C7H14O6,Methyl-α-D-galactose,3396-99-4
C7H16,heptane,142–82–5
C8H4F3IO2,Togni reagent II,
C8H5F3N2OS,riluzole,1744–22–5
C8H5NO2,isatin,91–56–5
C8H6BrN,5-bromoindole,10075–50–0
C8H6BrN,6-bromoindole,52415–29–9
C8H6ClN,4-chloroindole,25235–85–2
C8H6Cl2O3,"2,4-dichlorophenoxyacetic acid",94–75–7
C8H6N2O,4-quinazolinol,491–36–1
C8H6N2O2,indazolium-3-carboxylate,4498–67–3
C8H7Cl,2-Chlorostyrene,2039-87-4
C8H7N,indole,120–72–9
C8H7NO,indol-4-ol,2380–94–1
C8H7NO,oxindole,59–48–3
C8H7NO,5-hydroxyindole,1953–54–4
C8H8,cubane,277–10–1
C8H7N3O2,luminol,521-31-3
C8H8N2OS,2-amino-6-methoxybenzothiazole,1747–60–0
C8H8O3,4-hydroxyphenylacetic acid,156–38–7
C8H8O3,isovanillin,621–59–0
C8H8O4,vanillic acid,121–34–6
C8H9NO2,acetaminophen,103–90–2
C8H9NO2,aminomethylbenzoic acid,56–91–7
C8H9NO2,hydroxydanaidal,34199–35–4
C8H9NO2,methyl anthranilate,134–20–3
C8H10IN,"4-Iodo-N,N-dimethylaniline",698-70-4
C8H10N4O2,caffeine,58–08–2
C8H11NO,tyramine,51–67–2
C8H11N5O3,aciclovir,59277–89–3
C8H16,"(1R,3R)-1,2,3-Trimethylcyclopentane",
C8H16O2,cyclohexanedimethanol,
C8H16O6,pinpollitol,
C8H16O6,viscumitol,
C8H16O6,Eleutheroside C ethyl galactoside,
C8H18,octane,111–65–9
C9H6BrN,4-bromoisoquinoline,1532–97–4
C9H6N2,5-cyanoindole,15861–24–2
C9H6O3,umbelliferone,93–35–6
C9H6OS,thiochromone,491–39–4
C9H7NO,8-hydroxyquinoline,148–24–3
C9H7NO,indole-3-carboxaldehyde,487–89–8
C9H7NO2,indole-2-carboxylic acid,1477–50–5
C9H7NO2,indole-3-carboxylic acid,771–50–6
C9H8N2,5-aminoisoquinoline,1125–60–6
C9H8N2,5-aminoquinoline,611–34–7
C9H8N2,6-aminoquinoline,580–15–4
C9H8N2,8-aminoquinoline,578–66–5
C9H8O2,cinnamic acid,140–10–3
C9H8O3,o-coumaric acid,614–60–8
C9H8O3,m-coumaric acid,621–54–5
C9H8O3,p-coumaric acid,7400–08–0
C9H8O4,aspirin acetylsalicylic acid,50–78–2
C9H8O4,caffeic acid,331–39–5
C9H9N,methylketol,95–20–5
C9H9N,skatole,83–34–1
C9H9NO,4-methoxyindole,4837–90–5
C9H9NO,5-methoxyindole,1006–94–6
C9H9NO,6-methoxyindole,3189–13–7
C9H9NO,indole-3-carbinol,700–06–1
C9H9NO3,hippuric acid,495–69–2
C9H9NO6,Stizolobic acid,15911-87-2
C9H10O,chavicol,
C9H10O3,paeonol,552–41–0
C9H11NO2,phenylanine LPA,63–91–2
C9H11NO2,phenylanine DLPA,150–30–1
C9H10O,cinnamyl alcohol,104–54–1
C9H11NO3,tyrosine Tyr,31330–59–3
C9H11NO4,L-DOPA,59–92–7
C9H12O3,4-Ipomeanol,32954-58-8
C9H13N5O3,S2242,
C9H14O3,Boonein,
C9H17NO2,gabapentin,60142–96–3
C9H18N2O2,1-boc-piperazine,57260–71–6
C9H20,nonane,111–84–2
C9H20N2O2S2,Mono-BOC-cystamine,
C9H20N2S,"N,N'-Di-n-butylthiourea",109-46-6
C10H4Br5NO,Pentabromopseudilin,10245-81-5
C10H7NO2,Quinaldic acid,93–10–7
C10H7NO4,6-Hydroxykynurenic acid,3778-29-8
C10H7N3S,tiabendazole,
C10H8,azulene,275–51–4
C10H8,naphthalene,91–20–3
C10H8O3,hymecromone,90–33–5
C10H9NO2,indole-3-acetic acid,87–51–4
C10H9N5O,kinetin,525–79–1
C10H9NO2,5-methoxyindole-3-carboxaldehyde,10601–19–1
C10H10,Basketene,
C10H10N2O,edaravone,89–25–8
C10H10N3NaO5,Suosan,140-46-5
C10H10O2,safrole,
C10H10O4,ferulic acid,1135–24–6
C10H11N3O3S,sulfamethoxazole,723–46–6
C10H12N2,tryptamine,61–54–1
C10H12O,anethole,
C10H12O,estragole,
C10H12O2,hinokitiol,
C10H12O2,eugenol,
C10H12O2,isoeugenol,
C10H12O2,pseudoisoeugenol,
C10H12O3,coniferyl alcohol,
C10H13N5O4,adenosine,58–61–7
C10H14ClNS,N-tert-Butylbenzenesulfinimidoyl chloride,49591-20-0
C10H14N2,nicotine,54-11-5
C10H14Cl2O4Ti,Titanium bis(acetylacetonate)dichloride,17099-86-4
C10H14O,Carvone,99-49-0
C10H15Br,1-Bromoadamantane,768-90-1
C10H15ON,ephedrine,56370–30–0
C10H16,limonene,
C10H16O,camphor,76–22–2
C10H17NO3,boc-4-piperidone,79099–07–3
C10H18N2O8,Fructose-asparagine,34393-27-6
C10H18N4O2S,Biotin hydrazide,66640-86-6
C10H19NO3,1-boc-4-piperidinol,109384–19–2
C10H20N2O2,boc-4-aminopiperidine,87120–72–7
C10H20O2,Paramenthane hydroperoxide,
C10H22,decane,124–18–5
C11H8O2,menadione,58–27–5
C11H10O,β-Naphthol methyl ether,93-04-9
C11H11NO2,3-indolepropionic acid,830–96–6
C11H12N2O2,tryptophan Trp,73–22–3
C11H12O3,myristicin,
C11H13NO6,Caramboxin or Diroximel fumarate,
C11H14N2O,5-methoxytryptamine,608–07–1
C11H14O2,methyl eugenol,
C11H14O2,methyl isoeugenol,
C11H16O2,Jasmolone,54383-66-3
C11H19NO4,boc-isonipecotic acid,84358–13–4
C11H21N5O5,L-Arginine L-pyroglutamate,56265-06-6
C11H24,undecane,1120–21–4
C12H11NO5,Macromomycin B,70213-45-5
C12H4Cl6,"2,2',3,3',4,4'-Hexachlorobiphenyl",11096-82-5
C12H4N4,tetracyanoquinodimethane,1518–16–7
C12H8O4,methoxsalen,298–81–7
C12H10,biphenyl,92–52–4
C12H10ClN2O5S,furosemide,54–31–9
C12H11N3O2,Furonazide,3460-67-1
C12H11N5,6-benzylaminopurine,1214–39–7
C12H11N7,triamterene,396–01–0
C12H13NO2,indole-3-butyric acid,133–32–4
(C12H14CaO12)n,calcium alginate,
C12H14O4,apiole,
C12H14O4,dillapiole,
C12H15NO,1-benzyl-4-piperidone,3612–20–2
C12H16N2,Dimethyltryptamine,61–50–7
C12H16O3,asarone,
C12H16O3,elemicin,
C12H16O3,isoelemicin,
C12H16O3,oudenone,
C12H16O4,"2,4,5-Trimethoxypropiophenone",
C12H16O7,arbutin,497–76–7
C12H17N5O4S,thiamine nitrate,
C12H18N4O2,E1210,
C12H18O,propofol,2078–54–8
C12H18O4,"Allixin or 1,6-Hexanediol diacrylate",
C12H19N3O7,D-Fructose-L-histidine,25020-13-7
C12H21N3O8,Aspartylglucosamine,2776-93-4
C12H22O4,"1,1'-Dihydroxydicyclohexyl peroxide",2407-94-5
C12H22O11,maltose,69–79–4
C12H22O11,sucrose,57–50–1
C12H25N,Stenusin,54985-88-5
C12H26,dodecane,112–40–3
C13H20,Tetracyclopropylmethane,332104-93-5
C13H10O,benzophenone,119–61–9
C13H12F2N6O,fluconazole,86386–73–4
C13H12O,β-ionone,2484–16–4
C13H12O2,monobenzone,103–16–2
C13H14N2O,harmaline,
C13H16N2O2,melatonin,73–31–4
C13H18O2,ibuprofen,15687–27–1
C13H28,tridecane,629–50–5
C14H10,anthracene,120–12–7
C14H10,phenanthrene,85–01–8
C14H10O14,benzoyl peroxide,94–36–0
C14H11Cl3N2O3,RI-1,415713-60-9
C14H11NO3,Isooncodine,122890-43-1
C14H12Br2,meso-Stilbene dibromide,
C14H12O3,resveratrol,501–36–0
C14H13F4N3O2S,Flufenacet,142459-58-3
C14H14Cl2N2O,enilconazole,
C14H16N2O4,SCH 900271,915210-50-3
C14H17F3N3O2,TDBzcholine,496972-30-6
C14H18N2O5,aspartame,81–14–1
C14H18N4O3,trimethoprim,738–70–5
C14H18O6,Bis(2-methoxyethyl) phthalate,117–82–8
C14H20O5,Integrasone,689278-00-0
C14H30,tetradecane,629–59–4
C15H10O4,daidzein,486–66–8
C15H10O5,apigenin,520–36–5
C15H10O5,emodin,518–82–1
C15H10O5,genistein,446–72–0
C15H10O6,luteolin,491–70–3
C15H10O7,quercetin,117–39–5
C15H12N2O,carbamazepine,298–46–4
C15H12N2O2,phenytoin,57–41–0
C15H13NO4,Darienine,111316-27-9
C15H18O2,Curzerenone,20493-56-5
C15H18O3,Arglabin,84692-91-1
C15H24O,nectaryl,95962-14-4
C15H32,pentadecane,629–62–9
C16H13NO4,Virstatin,88909-96-0
C16H14O3,ketoprofen,
C16H19NO4,Norscopolamine,4684-28-0
C16H19NO5,Peyonine,
C16H22FN5O3S,LY3372689,
C16H28N2O6Zn,zinc acexamate,70020–71–2
C16H30N4O4S,Biotin PEG2 amine,138529-46-1
C16H34,hexadecane,544–76–3
C17H13ClN4,alprazolam,
C17H14F3N3O2S,celecoxib,169590–42–5
C17H14N2,Olivacine,484-49-1
C17H14O3,5-Methyl-7-methoxyisoflavone,82517-12-2
C17H14N2O5S,Calmagite,3147-14-6
C17H15NO3,Noroliveroline,83730-14-7
C17H16N2O3S,"TSQ, 6-methoxy-(8-p-toluenesulfonamido)quinoline",109628-27-5
C17H18N2O6,nifedipine,21829–25–4
C17H19N3O3S,omeprazole,73590–58–6
C17H21NO4,cocaine,50-36-2 53–21–4
C17H22O2,cicutoxin,
C17H22O2,oenanthotoxin,
C17H24O,falcarinol,
C17H24O9,Eleutheroside B Syringin,
C17H30O8,Glyceryl octyl ascorbic acid,
C17H36,heptadecane,629–78–7
C18H12Cl2N2O,boscalid,
C18H16N2OS,INH1,
C18H17NO3,Oliveroline,62504-55-6
C18H17NO3,Xylopine,517–71–5
C18H17NO7,Clovamide,53755-03-6
C18H22O2,estrone,
C18H23NO6,Tazopsine,
C18H24O2,estradiol,
C18H24O3,estriol,
C18H24O4,estetrol,
C18H27NO3,capsaicin,404–86–4
C18H32O2,linoleic acid,60–33–3
C18H36O2,stearic acid,57–11–4
C18H38,octadecane,593–45–3
C19H10Br2O9S,Bromopyrogallol red,16574-43-9
C19H12N2O,"6-Formylindolo(3,2-b)carbazole",
C19H14N2O4,C286,1952276-71-9
C19H14O6,Landomycinone,
C19H15ClO4,Coumachlor,81-82-3
C19H16ClNO4,indometacin,53–86–1
C19H22N2,Eburnamenine,
C19H22N2O,Normacusine B,604-99-9
C19H24N2O,Eburnamine,
C19H26O2,androstenedione,
C19H28O2,dehydroepiandrosterone,
C19H28O2,testosterone,
C19H30O2,androstenediol,
C19H30O2,dihydrotestosterone,
C19H40,nonadecane,629–92–5
C20H17NO6,Sibiricine,
C20H19N,"N,N-Dibenzylaniline",91-73-6
C20H20N4AgS2O8,Tetrakis(pyridine)silver(II) peroxydisulfate,15810-50-1
C20H22N2O,Kopsanone,6662-83-5
C20H22N2O2,Pleiocarpamine,6393-66-4
C20H22O7,Saudin,
C20H23BrN8O,BX-912,702674-56-4
C20H23NO4,Thebacon,466-90-0
C20H24O2N2,quinine,130–95–0
C20H25NO,Diphepanol,510-07-6
C20H26O3,Crotogoudin,1252665-39-6
C20H27NO11,amygdalin,29883–15–6
C20H28O2,tretinoin,302–79–4
C20H30O3,Neotripterifordin,
C20H32O5,prostacyclin,
C20H32O5,prostaglandin E2,
C20H34O5,dinoprost,
C20H42,eicosane,112–95–8
C21H16FN7,AMG 319,1608125-21-8
C21H18FN5O5S,Avutometinib,
C21H19ClN4O2,Setanaxib,1218942-37-0
C21H20O6,curcumin,
C21H22N2O4,Picralinal,
C21H22O4,Taxamairin A,110300-76-0
C21H23FN2O4,Z-FA-FMK,
C21H24FN6O6P,Rovafovir etalafenamide,
C21H25NO4,Yuanhunine,104387-15-7
C21H26O4,Canniprene,
C21H27N5,D75-4590,
C21H30O2,progesterone,57-83-0
C21H30O2,tetrahydrocannabinol,1972–08–3
C21H36N7O16P3S,Coenzyme A,31416–98–5
C21H39NO3,N-Oleoylsarcosine,110-25-8
C21H44N2,"N-Oleyl-1,3-propanediamine",7173-62-8
C22H23ClN2O2,loratadine,79794–75–5
C22H26O7,L-165041,79558-09-1
C22H28N2O,fentanyl,
C22H30O8,Neurolenin B,
C23H13Cl2Na3O9S,Chrome Azurol S,1667-99-8
C23H19ClF3NO3,cyhalothrin,
C23H24O4S,Kadethrin,58769-20-3
C23H28N2O,Iferanserin,58754-46-4
C23H28N2O4,Pleiocarpine,
C23H38N2OS,Laucysteinamide A,2255376-67-9
C23H41NO2,Terminaline,15112-49-9
C24H17F6NO3,Tarocin A,
C24H29FN6,Ralimetinib,862505-00-8
C24H45CrO6,Chromium(III) 2-ethylhexanoate,3444-17-5
C25H30O8,Kadsurin,51670-40-7
C25H36O6,Pseudopterosin A,104855-20-1
C26H32N6O11,Mirubactin,
C26H37N3O,Tarocin B,
C26H38O6,Pseudopterosin E,
C27H27Cl2N5O3S,JD5037,
C27H33N3O5,Andrimid,108868-95-7
C27H50O6,Axona,538-23-8
C28H26ClN5O,Basic Black 2,4443–99–6
C28H37NO8,Nargenicin,70695-02-2
C28H42N4O6,Kukoamine A,75288-96-9
C28H47NO3,Pingbeinine,131984-89-9
C29H42N10O9,Argadin,
C29H40N2O6,Dihydromaltophilin,203304-22-7
C30H19NO9,Dynemicin A,
C30H42O11,Decinnamoyltaxinine J,
C30H46O6,Retigeric acid B,
C33H28O9,Rubicordifolin,849699-55-4
C33H38O11,Triptofordin C-2,111514-63-7
C34H46O18,Eleutheroside D,
C35H42O14,Taxinine M,
C35H60O6,Eleutheroside A,
C36N2O6,Cepharanoline,
C37H44O13,Taxagifine,
C37H48N2O8,Cytotrienin A,
C37H59N5O6,Caldoramide,1961308-67-7
C37H64O6,Chamuvarinin,
C38H65NO29,lacto-n-difucohexaose II,
C39H48N2O9,Kidamycin,11072-82-5
C40H48N6O10,Bouvardin,
C40H53NO14,Cosmomycin B,77517-27-2
C40H56,lycopene,
C40H60BNaO14,Aplasmomycin,61230-25-9
C41H50N2O10,Neopluramycin,
C41H50N2O11,Hedamycin,11048–97–8
C44H55NO16,Milataxel,352425-37-7
C44H69N15O9S,adrenorphin,
C48H56N10O12S6,Thiocoraline,
C52H48MoN4P4,"Bis(dinitrogen)bis(1,2-bis(diphenylphosphino)ethane)molybdenum(0)",25145-64-6
C55H74IN3O21S4,calicheamicin,
C58H84N12O26,Mannopeptimycin glycopeptide,
C59H80N4O22S4,esperamicin,
C59H103N3O18,Niphimycin,12676-71-0
C60,Buckminsterfullerene,99685-96-8
C61H60N14O18S5,Nocathiacin I,
C62H89CoN13O15P,hydroxocobalamin,
C63H88CoN14O14P,Vitamin B12,68-19-9
C63H88CoN14O14P,cyanocobalamin,
C63H91CoN13O14P,methylcobalamin,
C72H100CoN18O17P,adenosylcobalamin,
C76H52O46,Tannic acid,1401-55-4
C77H101N17O26,Surotomycin,
C77H120N18O26S,alpha-Endorphin,
C79H145N17O17,Paenibacterin,1400801-10-6
C83H131N19O27S,gamma-Endorphin,
C131H200N30O43S2,amidorphin,
C158H251N39O46S,beta-Endorphin,
C161H236N42O48,leumorphin,
C164H256Na2O68S2,maitotoxin,59392–53–9
C172H284ClN53O41,JV-1-36,
"C169,719H270,466N45,688O52,238S911",titin,
CaAl2O4,calcium aluminate,12042–68–1
CaB6,calcium boride,12007–99–7
CaBr2,calcium bromide,7789–41–5
Ca(BrO)2,calcium hypobromite,
Ca(BrO2)2,calcium bromite,
Ca(BrO3)2,calcium bromate,10102–75–7
Ca(BrO4)2,calcium perbromate,
Ca(CN)2,calcium cyanide,592–01–8
CaCO3,calcium carbonate spent lime calcite limestone marble,471–34–1
CaC2,calcium carbide,75–20–7
Ca(CHO2)2,calcium formate,544–17–2
Ca(C2H3O2)2,calcium acetate,62–54–4
CaC2O4,calcium oxalate,563–72–4
CaCN2,calcium cyanamide,156–62–7
CaCl2,calcium chloride,10043–52–4
Ca(ClO)2,calcium hypochlorite,7778–54–3
Ca(ClO2)2,calcium chlorite,
Ca(ClO3)2,calcium chlorate,10137–74–3
Ca(ClO4)2,calcium perchlorate,13477–36–6
CaF2,calcium fluoride fluorite,7789–75–5
CaH2,calcium hydride,7789–78–8
CaHPO4,dicalcium phosphate,7757–93–9
Ca(H2PO2)2,calcium hypophosphite,7789–79–9
Ca(HS)2,calcium hydrosulfide,12133–28–7
CaI2,calcium iodide,10102–68–8
Ca(IO)2,calcium hypoiodite,
Ca(IO2)2,calcium iodite,
Ca(IO3)2,calcium iodate,7789–80–2
Ca(IO4)2,calcium periodate,
CaMoO4,calcium molybdate,7789–82–4
Ca(NO2)2,calcium nitrite,13780–06–8
Ca(NO3)2,calcium nitrate,10124–37–5
Ca(NO3)2 · 4H2O,Calcium nitrate tetrahydrate,13477–34–4
Ca(NbO3)2,calcium metaniobate,
CaO,quicklime calcium oxide burnt lime,1305–78–8
Ca(OH)2,calcium hydroxide slaked lime,1305–62–0
CaO2,calcium peroxide,1305–79–9
CaP,calcium monophosphide,39373–03–0
CaS,calcium sulfide hepar calcies sulfurated lime oldhamite,20548–54–3
CaSO3,calcium sulfite,10257–55–3
CaSO4,calcium sulfate,7778–18–9
CaSO4 · 0.5H2O,plaster of paris calcium sulfate hemihydrate,10034–76–1
CaSe,calcium selenide,1305–84–6
CaSeO3,calcium selenite,13780–18–2
CaSeO4,calcium selenate,14019–91–1
CaSiO3,calcium metasilicate wollastonite,1344–95–2
CaTe,calcium telluride,12013–57–9
CaTeO3,calcium tellurite,13812–57–2
CaTeO4,calcium tellurate,15852–09–2
CaTiO3,calcium titanate,12049–50–2
Ca(VO3)2,calcium metavanadate,12135–52–3
Ca(VO4)2,calcium orthovanadate,
CaWO4,calcium tungstate,7790–75–2
Ca3(AsO4)2,calcium arsenate,7778–44–1
Ca3N2,calcium nitride,12013–82–0
Ca3P2,calcium phosphide,1305–99–3
Ca3(PO4)2,tricalcium phosphate,7758–87–4
Ca4(PO4)2O,tetracalcium phosphate,1306–01–0
Ca5(PO4)3F,calcium fluorophosphate,12015–73–5
Ca5(PO4)3(OH),hydroxyapatite,
CdBr2,cadmium bromide,7789–42–6
Cd(CN)2,cadmium cyanide,542–83–6
CdCO3,cadmium carbonate,513–78–0
Cd(C2H3O2)2,cadmium acetate,543–90–8
CdC2O4,cadmium oxalate,814–88–0
CdCl2,cadmium chloride,10108–64–2
CdCrO4,cadmium chromate,14312–00–6
CdF2,cadmium fluoride,7790–79–6
CdI2,cadmium iodide,7790–80–9
Cd(IO3)2,cadmium iodate,7790–81–0
CdMoO4,cadmium molybdate,13972–68–4
Cd(NO3)2,cadmium nitrate,10325–94–7
Cd(N3)2,cadmium azide,14215–29–3
CdO,cadmium oxide,1306–19–0
Cd(OH)2,cadmium hydroxide,21041–95–2
CdS,cadmium sulfide greenockite,1306–23–6
CdSO3,cadmium sulfite,13477–23–1
CdSO4,cadmium sulfate,10124–36–4
CdSb,cadmium antimonide,12014–29–8
CdSe,cadmium selenide cadmoselite,1306–24–7
CdSeO3,cadmium selenite,13814–59–0
CdSiO3,cadmium metasilicate,13477–19–5
Cd(TaO3)2,cadmium metatantalate,12292–07–8
CdTe,cadmium telluride,1306–25–8
CdTeO4,cadmium tellurate,15852–14–9
CdTiO3,cadmium titanate,12014–14–1
CdWO4,cadmium tungstate,7790–85–4
CdZrO3,cadmium metazirconate,
Cd2Nb2O7,cadmium niobate,12187–14–3
Cd3As2,cadmium arsenide,12006–15–4
Cd3P2,cadmium phosphide,12014–28–7
Cd3(PO4)2,cadmium phosphate,13477–17–3
CeB6,cerium boride,12008–02–5
CeBr3,cerium(III) bromide,14457–87–5
CeC,cerium carbide,12012–32–7
CeCl3,cerium(III) chloride,7790–86–5
CeF3,cerium(III) fluoride,7758–88–5
CeF4,cerium(IV) fluoride,7758–88–5
CeI2,cerium(II) iodide,19139–47–0
CeI3,cerium(III) iodide,7790–87–6
CeN,cerium nitride,25764–08–3
CeO2,cerium(IV) oxide cerianite,1306–38–3
CeS,cerium(II) sulfide,12014–82–3
Ce(SO4)2,cerium(IV) sulfate,13590–82–4
CeSi2,cerium silicide,12014–85–6
Ce2C3,cerium(III) carbide,12115–63–8
Ce2O3,cerium(III) oxide,1345–13–7
Ce2S3,cerium(III) sulfide,12014–93–6
CF3Cl,chlorotrifluoromethane,75–72–9
CF4,tetrafluoromethane,75–73–0
ClF,chlorine fluoride,7790–89–8
ClF3,chlorine trifluoride,7790–91–2
ClF5,chlorine pentafluoride,13637–63–3
ClOClO3,chlorine perchlorate,27218–16–2
ClO2,chlorine dioxide,10049–04–4
ClO3F,chlorine trioxide fluoride,7616–94–6
Cl2,chlorine,7782–50–5
Cl2O3,chlorine trioxide,17496–59–2
Cl2O6,chlorine hexoxide,12442–63–6
Cl2O7,chlorine heptoxide,10294–48–1
Cl2O8,Chlorine octaoxide,
CoAl2O4,cobalt(II) aluminate,13820–62–7
CoAs,cobalt arsenide,27016–73–5
CoAs2,cobalt(II) arsenide,12044–42–7
CoB,cobalt(II) boride,12006–77–8
CoBr2,cobalt(II) bromide,7789–43–7
Co(CN)2,cobalt(II) cyanide,542–84–7
Co(C2H3O2)2,cobalt(II) acetate,71–48–7
Co(C2H3O2)3,cobalt(III) acetate,917–69–1
CoC2O4,cobalt(II) oxalate,814–89–1
Co(ClO4)2,cobalt(II) perchlorate,13455–31–7
CoCl2,cobalt(II) chloride,7646–79–9
CoCrO4,cobalt(II) chromate,24613–38–5
CoCr2O4,cobalt(II) chromite,13455–25–9
CoF2,cobalt(II) fluoride,10026–17–2
CoF3,cobalt(III) fluoride,10026–18–3
CoFe2O4,cobalt ferrite,12052–28–7
Co(IO3)2,cobalt(II) iodate,13455–28–2
CoI2,cobalt(II) iodide,15238–00–3
CoMoO4,cobalt(II) molybdate,13762–14–6
Co(NO3)2,cobalt(II) nitrate,10141–05–6
Co(NO3)3,cobalt(III) nitrate,15520–84–0
CoO,cobalt(II) oxide,1307–96–6
Co(OH)2,cobalt(II) hydroxide,21041–93–0
Co(OH)3,cobalt(III) hydroxide,1307–86–4
CoS,cobalt(II) sulfide,1317–42–6
CoS2,cobalt disulfide,12013–10–4
CoSb,cobalt antimonide,12052–42–5
CoSe,cobalt(II) selenide,1307–99–9
CoSeO3,cobalt(II) selenite,10026–23–0
CoTe,cobalt(II) telluride,12017–13–9
CoTiO3,cobalt(II) titanate,12017–01–5
CoWO4,cobalt(II) tungstate,12640–47–0
Co2B,cobalt boride,12045–01–1
Co(C18H33O2)2,Cobalt oleate,
Co2SO4,cobalt(II) sulfate,10124–43–3
Co2S3,cobalt(III) sulfide,1332–71–4
Co2SiO4,cobalt(II) orthosilicate,12017–08–2
Co2SnO4,cobalt(II) stannate,12139–93–4
Co2TiO4,cobalt(II) titanite,12017–38–8
Co3(AsO4)2,cobalt arsenate,
Co3(Fe(CN)6)2,cobalt(II) ferricyanide,14049–81–1
CrBr2,chromium(II) bromide,10049–25–9
CrBr3,chromium(III) bromide,10031–25–1
CrCl2,chromium(II) chloride,10049–05–5
CrCl3,chromium(III) chloride,10025–73–7
CrCl4,chromium(IV) chloride,15597–88–3
CrF2,chromium(II) fluoride,10049–10–2
CrF3,chromium(III) fluoride,7788–97–8
CrF4,chromium(IV) fluoride,10049–11–3
CrF5,chromium(V) fluoride,13843–28–2
